From,To
Nature of data points,Source details
Source details,Frequency of observation
Frequency of observation,Reporting type
Reporting type,Reference area
Reference area,Sex
Reference area,Age
Reference area,Degree of urbanisation
Reference area,Income or wealth quantile
Reference area,Education level
Reference area,COMPOSITE_BREAKDOWN
Reference area,Disability status
