From,To
Nature of data points,Frequency of observation
Frequency of observation,Reporting type
Reporting type,Reference area
Reference area,Income or wealth quantile
Income or wealth quantile,Sex
Income or wealth quantile,Age
Income or wealth quantile,Degree of urbanisation
