From,To
Nature of data points,Observation-level footnotes
Observation-level footnotes,Frequency of observation
Frequency of observation,Reporting type
Reporting type,Reference area
Reference area,Sex
Sex,Age
Sex,Degree of urbanisation
Sex,Income or wealth quantile
Sex,Education level
Sex,Disability status
