Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2007,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,27.716013
2008,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,32.316212
2009,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,24.233586
2010,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,90.112821
2011,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,27.924874
2012,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,27.025061
2013,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,38.431743
2014,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,29.216361
2015,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,22.079153
2016,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,24.463597
2017,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,17.014573
2018,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,25.028299
2019,A,5,C,A,N,SL_EMP_INJUR,KG,,PT,21.813169
2007,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,15.549077
2008,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,13.157949
2009,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,10.590847
2010,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,19.815059
2011,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,10.078654
2012,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,12.820667
2013,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,16.056764
2014,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,15.507042
2015,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,8.391925
2016,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,16.384907
2017,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,13.60476
2018,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,14.914402
2019,A,5,C,A,N,SL_EMP_INJUR,KG,F,PT,12.801351
2007,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,41.775785
2008,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,52.283772
2009,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,38.855636
2010,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,164.348209
2011,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,46.448956
2012,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,42.343954
2013,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,63.293021
2014,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,44.619333
2015,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,37.859348
2016,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,33.692722
2017,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,20.921618
2018,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,36.61573
2019,A,5,C,A,N,SL_EMP_INJUR,KG,M,PT,31.967565
2007,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,11.184431
2008,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,52.931596
2009,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,25.97515
2010,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,66.960769
2011,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,44.998269
2012,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,44.855428
2013,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,40.545177
2014,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,60.180542
2015,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,5.901968
2016,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,11.837822
2017,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,16.899028
2018,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,14.249886
2019,A,5,C,A,N,SL_EMP_INJUR,KG05,,PT,16.981773
2010,A,5,C,A,N,SL_EMP_INJUR,KG05,F,PT,8.934954
2012,A,5,C,A,N,SL_EMP_INJUR,KG05,F,PT,14.155283
2016,A,5,C,A,N,SL_EMP_INJUR,KG05,F,PT,5.608525
2007,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,21.335609
2008,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,93.471383
2009,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,49.829748
2010,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,112.707805
2011,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,86.672445
2012,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,74.059113
2013,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,76.587722
2014,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,131.373162
2015,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,12.854297
2016,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,18.796992
2017,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,37.225462
2018,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,32.427524
2019,A,5,C,A,N,SL_EMP_INJUR,KG05,M,PT,38.444288
2007,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,57.34356
2008,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,34.763683
2009,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,46.934978
2010,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,41.29774
2011,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,34.63367
2012,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,32.200193
2013,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,35.998247
2014,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,22.677108
2015,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,20.82061
2016,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,26.515574
2017,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,14.554885
2018,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,46.09873
2019,A,5,C,A,N,SL_EMP_INJUR,KG03,,PT,14.31397
