Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,313220.0
2008,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,349682.0
2009,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,274008.0
2010,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,282009.0
2011,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,136292.0
2012,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,77413.0
2013,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,180254.0
2014,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,152940.0
2015,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,132336.0
2016,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,142943.0
2017,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,135927.0
2018,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,138265.0
2019,A,0,C,A,N,_L_KG_010301_1G1,KG,PT,147363.0
2007,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,5.968864
2008,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,6.611241
2009,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,5.109427
2010,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,5.204752
2011,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.488161
2012,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,1.394354
2013,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,3.120433
2014,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.594375
2015,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.198462
2016,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.327986
2017,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.172493
2018,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.163941
2019,A,0,C,A,N,_L_KG_010301_1G2,KG,PT,2.259523
2007,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,59.241298
2008,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,61.233202
2009,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,48.534186
2010,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,49.060743
2011,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,22.957535
2012,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,12.62552
2013,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,28.824314
2014,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,24.113102
2015,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,20.458403
2016,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,21.618658
2017,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,20.190277
2018,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,19.898854
2019,A,0,C,A,N,_L_KG_010301_1G3,KG,PT,20.5
