Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,Annual,National,Number of firearms voluntarily surrendered,Kyrgyzstan,Number,153
2017,Normal value,Units,Country Data,Annual,National,Number of firearms voluntarily surrendered,Kyrgyzstan,Number,196
2018,Normal value,Units,Country Data,Annual,National,Number of firearms voluntarily surrendered,Kyrgyzstan,Number,232
2019,Normal value,Units,Country Data,Annual,National,Number of firearms voluntarily surrendered,Kyrgyzstan,Number,99
2016,Normal value,Units,Country Data,Annual,National,Number of firearms seized,Kyrgyzstan,Number,217
2017,Normal value,Units,Country Data,Annual,National,Number of firearms seized,Kyrgyzstan,Number,399
2018,Normal value,Units,Country Data,Annual,National,Number of firearms seized,Kyrgyzstan,Number,296
2019,Normal value,Units,Country Data,Annual,National,Number of firearms seized,Kyrgyzstan,Number,135
