From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,SEX
SEX,AGE
SEX,URBANISATION
SEX,INCOME_WEALTH_QUANTILE
SEX,EDUCATION_LEV
SEX,DISABILITY_STATUS
