From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,INCOME_WEALTH_QUANTILE
INCOME_WEALTH_QUANTILE,SEX
INCOME_WEALTH_QUANTILE,AGE
INCOME_WEALTH_QUANTILE,URBANISATION
