From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,SOURCE_DETAIL
SOURCE_DETAIL,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,SEX
SEX,AGE
AGE,URBANISATION
AGE,INCOME_WEALTH_QUANTILE
AGE,EDUCATION_LEV
AGE,DISABILITY_STATUS
