From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,COMMENT_OBS
COMMENT_OBS,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,SEX
REF_AREA,AGE
REF_AREA,URBANISATION
REF_AREA,INCOME_WEALTH_QUANTILE
REF_AREA,DISABILITY_STATUS
