From,To
OBS_STATUS,UNIT_MULT
UNIT_MULT,NATURE
NATURE,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,SEX
REF_AREA,AGE
REF_AREA,EDUCATION_LEV
REF_AREA,COMPOSITE_BREAKDOWN
