Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2010,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,13.4
2013,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,8.5
2014,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,7.7
2015,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,6.7
2016,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,7.6
2017,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,4.3
2018,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,4.5
2019,A,0,C,A,N,_L_KG_030501_1,KG,,PER_100000_POP,2.5
2010,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,1.7
2013,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,0.4
2014,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,1.1
2015,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,0.4
2016,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,0.5
2017,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,0.3
2018,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,0.4
2019,A,0,C,A,N,_L_KG_030501_1,KG,F,PER_100000_POP,0.1
2010,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,25.3
2013,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,16.8
2014,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,14.5
2015,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,13.1
2016,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,14.8
2017,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,8.5
2018,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,8.8
2019,A,0,C,A,N,_L_KG_030501_1,KG,M,PER_100000_POP,4.9
2010,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,1.6
2013,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,1.5
2014,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,1.3
2015,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,1.2
2016,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,2.2
2017,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,0.8
2018,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,0.4
2019,A,0,C,A,N,_L_KG_030501_1,KG05,,PER_100000_POP,0.2
2016,A,0,C,A,N,_L_KG_030501_1,KG05,F,PER_100000_POP,0.4
2018,A,0,C,A,N,_L_KG_030501_1,KG05,F,PER_100000_POP,0.0
2019,A,0,C,A,N,_L_KG_030501_1,KG05,F,PER_100000_POP,0.0
2010,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,3.1
2013,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,3.0
2014,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,2.5
2015,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,2.4
2016,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,3.9
2017,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,1.5
2018,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,0.8
2019,A,0,C,A,N,_L_KG_030501_1,KG05,M,PER_100000_POP,0.4
2010,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,5.2
2013,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,3.2
2014,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,2.3
2015,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,1.2
2016,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,2.0
2017,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,1.9
2018,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,1.5
2019,A,0,C,A,N,_L_KG_030501_1,KG03,,PER_100000_POP,0.7
2010,A,0,C,A,N,_L_KG_030501_1,KG03,F,PER_100000_POP,0.4
2014,A,0,C,A,N,_L_KG_030501_1,KG03,F,PER_100000_POP,0.2
2017,A,0,C,A,N,_L_KG_030501_1,KG03,F,PER_100000_POP,0.2
